Time Elapsed (Hour),Tidal State,V1,V2,V3,V1+V2,R1 = V2/V1,R2 = V2/V3,R3 = V1/V3,"R4 = V1/V2
=1/R1","R5 = V3/V1
=1/R3","R6 = V1/V2
=1/R2"
3.20,State2,-223.116,86.7912,-129.976,-136.3248,-0.388995859,-0.667747892,1.716593833,-2.570721456,0.582548988,-2.570721456
3.25,State2,-224.401,93.8972,-119.627,-130.5038,-0.418434855,-0.784916449,1.875839066,-2.389858271,0.533094772,-2.389858271
3.30,State2,-229.497,95.0013,-123.087,-134.4957,-0.413954431,-0.77182237,1.864510468,-2.415724837,0.536333808,-2.415724837
3.33,State2,-233.891,95.2691,-127.607,-138.6219,-0.407322642,-0.746582084,1.832901016,-2.455056256,0.545583199,-2.455056256
3.38,State2,-235.226,95.4279,-126.166,-139.7981,-0.405686021,-0.756367801,1.864416721,-2.464960457,0.536360776,-2.464960457
3.43,State2,-230.745,100.1,-116.85,-130.645,-0.433812217,-0.85665383,1.974711168,-2.305144855,0.506403172,-2.305144855
3.47,State2,-227.243,105.813,-108.33,-121.43,-0.465638105,-0.976765439,2.097692237,-2.147590561,0.476714354,-2.147590561
3.52,State2,-223.34,111.41,-99.1291,-111.93,-0.498835856,-1.12388794,2.253021565,-2.004667445,0.443848393,-2.004667445
3.57,State2,-215.328,113.553,-89.5597,-101.775,-0.527348975,-1.267902863,2.404295682,-1.896277509,0.415922221,-1.896277509
3.60,State2,-203.477,110.542,-80.3047,-92.935,-0.543265332,-1.376532133,2.533811844,-1.840721174,0.394662296,-1.840721174
3.65,State2,-193.467,108.33,-72.3346,-85.137,-0.559940455,-1.497623544,2.67461215,-1.785904182,0.373885986,-1.785904182
3.70,State2,-183.288,106.702,-63.7389,-76.586,-0.58215486,-1.674048344,2.875606576,-1.717755993,0.347752717,-1.717755993
3.75,State2,-170.892,107.659,-52.2377,-63.233,-0.629982679,-2.06094449,3.271430404,-1.587345229,0.305676685,-1.587345229
3.78,State2,-159.053,109.539,-38.4877,-49.514,-0.688694963,-2.846078098,4.132567028,-1.452021654,0.241980346,-1.452021654
3.83,State2,-147.761,111.205,-24.4283,-36.556,-0.752600483,-4.552302043,6.048763115,-1.328726226,0.165323055,-1.328726226
3.88,State2,-133.202,115.176,-2.78507,-18.026,-0.864671702,-41.35479539,47.82716413,-1.1565083,0.02090862,-1.1565083
3.92,State2,-115.321,123.204,23.0063,7.883,-1.068357021,5.355228785,-5.01258351,-0.936016688,-0.199497923,-0.936016688
3.97,State2,-98.8944,130.705,47.0903,31.8106,-1.321662298,2.775624704,-2.100101295,-0.756622929,-0.476167508,-0.756622929
4.02,State3,-80.0084,137.392,73.4752,57.3836,-1.717219692,1.869909847,-1.088917077,-0.582336672,-0.918343574,-0.582336672
4.05,State3,-52.4057,140.697,106.287,88.2913,-2.684765207,1.323746084,-0.493058417,-0.37247205,-2.028157242,-0.37247205
4.10,State3,-20.6714,140.347,138.776,119.6756,-6.789428873,1.011320401,-0.148955151,-0.147287794,-6.71343015,-0.147287794
4.15,State3,10.2435,138.89,167.928,149.1335,13.55884219,0.827080654,0.060999357,0.07375261,16.39361546,0.07375261
4.20,State3,45.021,135.808,198.357,180.829,3.016547833,0.684664519,0.226969555,0.331504771,4.405877257,0.331504771
4.23,State3,87.223,129.527,232.144,216.75,1.485009688,0.557959715,0.375727996,0.67339628,2.661499834,0.67339628
4.28,State3,129.349,121.975,266.855,251.324,0.942991442,0.457083435,0.484716419,1.060455011,2.063061949,1.060455011
4.33,State3,169.393,114.85,298.44,284.243,0.678009127,0.384834473,0.567594826,1.4749064,1.761820146,1.4749064
4.37,State3,208.938,107.665,328.718,316.603,0.515296404,0.32752998,0.635614721,1.94063066,1.573280112,1.94063066
4.42,State3,247.48,101.886,359.38,349.366,0.411693874,0.283504925,0.688630419,2.428989263,1.45215775,2.428989263
4.47,State3,280.28,94.5136,382.337,374.7936,0.33721136,0.247199722,0.733070563,2.965499145,1.364125161,2.965499145
4.50,State3,309.035,86.2581,403.094,395.2931,0.279120812,0.213990037,0.766657405,3.582678033,1.304363583,3.582678033
4.55,State3,334.154,80.2219,421.628,414.3759,0.240074636,0.190267013,0.792532754,4.165371301,1.261777504,4.165371301
4.60,State3,354.768,75.7282,438.681,430.4962,0.213458373,0.172627034,0.808715217,4.68475416,1.236529225,4.68475416
4.65,State3,367.785,76.9917,453.754,444.7767,0.20933888,0.169677182,0.810538309,4.776943489,1.233747978,4.776943489
4.68,State3,378.908,81.52,470.14,460.428,0.215144573,0.173395159,0.805947165,4.648037291,1.240776125,4.648037291
4.73,State3,385.509,86.9108,483.206,472.4198,0.225444283,0.179862833,0.797815011,4.435685784,1.253423396,4.435685784
4.78,State3,387.942,92.6369,492.43,480.5789,0.238790592,0.188121967,0.787811466,4.187769668,1.269339231,4.187769668
4.82,State3,389.831,95.3767,497.703,485.2077,0.244661661,0.191633766,0.783260298,4.087277081,1.276714782,4.087277081
4.87,State3,394.057,94.6803,501.446,488.7373,0.24027057,0.188814548,0.785841347,4.161974561,1.272521488,4.161974561
4.92,State3,398.187,92.5323,504.305,490.7193,0.232384031,0.183484796,0.789575753,4.303221686,1.266502925,4.303221686
4.95,State3,401.234,89.8336,505.185,491.0676,0.223893289,0.177823174,0.794231816,4.466413458,1.259078244,4.466413458
5.00,State3,406.77,86.5982,506.268,493.3682,0.212892298,0.171052091,0.803467729,4.697210797,1.244605059,4.697210797
5.05,State3,413.134,83.6285,508.933,496.7625,0.202424637,0.164321237,0.811765006,4.94011013,1.231883602,4.94011013
5.10,State3,422.476,79.6821,512.266,502.1581,0.1886074,0.155548289,0.82471997,5.302018898,1.212532783,5.302018898
5.13,State3,435.964,73.6934,520.277,509.6574,0.169035517,0.141642625,0.83794594,5.915916486,1.193394409,5.915916486
